indexId,Predicted
23,Cacatua haematuropygia
282,Egretta eulophotes
443,Cacatua haematuropygia
231,Cacatua haematuropygia
691,Pithecophaga jeffeyri
356,Anas luzonica
774,Pithecophaga jeffeyri
551,Pithecophaga jeffeyri
343,Alcedo argentata
143,Egretta eulophotes
383,Pithecophaga jeffeyri
560,Pithecophaga jeffeyri
742,Egretta eulophotes
647,Cacatua haematuropygia
226,Cacatua haematuropygia
186,Anas luzonica
583,Alcedo argentata
482,Pithecophaga jeffeyri
100,Alcedo argentata
734,Cacatua haematuropygia
421,Cacatua haematuropygia
260,Cacatua haematuropygia
490,Pithecophaga jeffeyri
118,Cacatua haematuropygia
522,Cacatua haematuropygia
58,Cacatua haematuropygia
310,Anas luzonica
462,Anas luzonica
345,Pithecophaga jeffeyri
270,Egretta eulophotes
175,Egretta eulophotes
676,Pithecophaga jeffeyri
604,Pithecophaga jeffeyri
223,Pithecophaga jeffeyri
777,Pithecophaga jeffeyri
248,Pithecophaga jeffeyri
255,Pithecophaga jeffeyri
658,Pithecophaga jeffeyri
446,Cacatua haematuropygia
211,Cacatua haematuropygia
671,Pithecophaga jeffeyri
18,Pithecophaga jeffeyri
102,Cacatua haematuropygia
771,Alcedo argentata
407,Cacatua haematuropygia
41,Cacatua haematuropygia
386,Cacatua haematuropygia
284,Cacatua haematuropygia
457,Pithecophaga jeffeyri
433,Cacatua haematuropygia
315,Anas luzonica
162,Cacatua haematuropygia
612,Pithecophaga jeffeyri
502,Pithecophaga jeffeyri
411,Alcedo argentata
380,Pithecophaga jeffeyri
591,Anas luzonica
809,Alcedo argentata
585,Anas luzonica
749,Pithecophaga jeffeyri
785,Cacatua haematuropygia
706,Pithecophaga jeffeyri
565,Alcedo argentata
27,Cacatua haematuropygia
113,Cacatua haematuropygia
340,Pithecophaga jeffeyri
684,Cacatua haematuropygia
98,Cacatua haematuropygia
283,Pithecophaga jeffeyri
335,Pithecophaga jeffeyri
5,Cacatua haematuropygia
204,Anas luzonica
628,Cacatua haematuropygia
350,Cacatua haematuropygia
171,Cacatua haematuropygia
542,Pithecophaga jeffeyri
566,Pithecophaga jeffeyri
2,Pithecophaga jeffeyri
9,Alcedo argentata
303,Egretta eulophotes
